"사이트 아이디","ASP 아이디","강의 아이디","강의 구분","강의 명","수강신청 시작 일자","수강신청 종료 일자","강의 시작 일자","강의 종료 일자","강의대상","정원","수강신청 URL","등록 일자","수정 일자","교육기관 고유아이디","교육기관명","교육기관 자치구","교육기관 위도 좌표","교육기관 경도 좌표"
"lc1","ASP00001","ASP00001J404020240110553","오프라인","김은경의 소통 프로젝트Ⅱ (심리상담사/ 행복 마인드컨설팅 전문가)","202405011200","202406191800","20240612","20240710","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141792&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110555","오프라인","실버음악활동지도사","202405011200","202407011800","20240624","20240723","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100142761&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%8B%A4%EB%B2%84&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110556","오프라인","미술심리상담사2급","202405011200","202409041800","20240828","20241002","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100142923&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EB%AF%B8%EC%88%A0&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110557","오프라인","색채심리상담사2급","202405011200","202406271800","20240620","20240718","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141436&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=2","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110558","오프라인","한국사지도사","202405011200","202408281800","20240821","20240925","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100140695&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=3","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110559","오프라인","노인인지미술활동지도사","202405011200","202410101800","20240926","20241131","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100142976&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EB%85%B8%EC%9D%B8%EC%9D%B8%EC%A7%80&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110560","오프라인","건강체육지도사-야간","202405011200","202407021800","20240625","20240723","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141506&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EA%B1%B4%EA%B0%95&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110561","오프라인","웃음레크건강지도사_야간","202405011200","202406241800","20240617","20240715","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100136199&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=08&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=2","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110571","오프라인","요양보호사 자격증 취득과정(신규/주간반)","202404010900","202408261000","20240826","20241206","","30","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectCareWorker.do?sch_class_code=C100142765&returnUrl=%2Fjungnang%2Fedu%2FselectPageListCareWorker.do&edust=&sch_course_code=23&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110563","오프라인","스마트폰 교육강사","202405011200","202407011800","20240624","20240715","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141191&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8F%B0&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
