강의 명,강의 카테고리명
AI활용 숏폼 콘텐츠 제작,콘텐츠산업 전문과정
반영구스킨아트,사회/교양
[월화목 오전]중식조리기능사 실기,국가기술자격
[수금 오전]양식조리기능사 실기,국가기술자격
[수금 오전]쉽고 맛있는 일본 가정식 요리,사회/교양
[수금 오후]쉽고 맛있는 일본 가정식 요리,사회/교양
[수금 오후]쉽고 맛있는 일본 가정식 요리,사회/교양
[수목 저녁]중식조리기능사 실기,국가기술자격
[수목 저녁]중식조리기능사 실기,국가기술자격
재봉틀로 만드는 홈패션 기초,사회/교양
[수금 오후]떡제조기능사(이론+실기),사회/교양
[수금 오후]떡제조기능사(이론+실기),사회/교양
[토]한식조리기능사 실기,국가기술자격
[토]와인소믈리에과정,사회/교양
[수 저녁]와인소믈리에과정,사회/교양
[오전]파이썬 기초와 빅데이터 입문,사회/교양
[오전]ITQ자격증(한글+엑셀+파워포인트)취득,사회/교양
요양보호사 자격증 취득(신규자),사회/교양
[주간반]요양보호사 자격증 취득(사회복지사 자격증 소지자),사회/교양
[월수 저녁]요양보호사 자격증 취득(간호조무사 자격 소지자),사회/교양
[수 오후]부동산 경매 및 셀프등기,사회/교양
디지털 헬스케어 서비스 기획자,콘텐츠산업 전문과정
K-콘텐츠 미디어 작가 과정,콘텐츠산업 전문과정
[목 오후]쁘띠 프랑스자수,사회/교양
[목 오전]나도 작가:나만의 자서전 쓰기,사회/교양
[월수 오전]실버인지전문가1급(치매예방프로그램),사회/교양
[수금 오후]실버인지전문가1급(치매예방프로그램),사회/교양
[화 오전]보태니컬아트(꽃그림),사회/교양
[화 오후]연필풍경스케치,사회/교양
사회복지프로그램지도자,사회/교양
[서울시_국비지원]AI기반 스마트회계 사무원 양성 과정,사회/교양
[여성가족부_국비지원] 콘텐츠디자인마케터과정,사회/교양
[여성가족부_국비지원]히든챔피언_강소기업 인사노무사무원,사회/교양
[집단상담] 똑똑한 챗GPT와 함께 취업하자,사회/교양
[여성가족부_국비지원] 원산지관리사 및 FTA-PASS실습과정,사회/교양
[고용노동부_국비지원] 똑똑한 챗GPT와 함께 취업하자,사회/교양
[고용노동부_국비지원] 똑똑한 챗GPT와 함께 취업하자,사회/교양
인디서울 6월 독립영화상영회 &lt;어른 김장하&gt;,사회/교양
인디서울 2024와 함께하는 독립영화상영회 7월,기타
[수금 저녁]떡제조기능사(이론+실기),사회/교양
산모신생아건강관리사,사회/교양
베이비시터 6회차,사회/교양
보드게임놀이지도사 1회차,사회/교양
보드게임놀이지도사 1회차,사회/교양
서울시지원 고용서비스기관 직업상담실무,사회/교양
직업상담사1급 2차(실기) 대비반(토),사회/교양
스마트폰 활용 유튜브크리에이터,콘텐츠산업 전문과정
스마트폰 활용 유튜브크리에이터,콘텐츠산업 전문과정
