강의 명,강의 카테고리명
[서울산업진흥원] W-UP_초보를 위한 친절한 카메라 조작법,멀티미디어
[서울산업진흥원] W-UP_프리미어 안에서 예능 자막 만드는 방법,멀티미디어
[서울산업진흥원] W-UP_클릭율을 올리는 썸네일과 제목,멀티미디어
[서울시어르신취업지원센터] 커피학교 바리스타 스킬업,시니어취업
크리에이터 허팝을 만나다,사회/교양
5G 시대 콘텐츠 트렌드 및 BM,신기술교육
1인 콘텐츠 실제 제작하기,멀티미디어
다큐멘터리 지식채널e 숏 콘텐츠 5분의 미학,사회/교양
2020 평생학습 성과공유회,사회/교양
영상촬영기본,멀티미디어
뮤지컬 장르의 이해,사회/교양
이성강 감독의 기획부터 제작까지 애니메이션 끌리는 이야기,사회/교양
스마트폰을 활용한 영상 제작,멀티미디어
애니메이션 스토리텔링,멀티미디어
한눈에 살펴보는 한국 캐릭터 변천사,사회/교양
장르를 넘나들다! 뮤지컬과 영화의 크리에이터 장유정 감독,사회/교양
"아이디어, 당신의 삶에서 찾아라! 김양수 웹툰작가",사회/교양
"하일권, 다음 장면이 궁금한 만화를 그려라!",사회/교양
감독 연상호를 만나다,사회/교양
나만의 이모티콘 만들기,사회/교양
웹툰 프로듀서를 위한 실전 만화기획,멀티미디어
"시선을 사로잡는 힘, 공연 무대의 비밀",사회/교양
서울시 노사민정 아카데미,사회/교양
[서울시어르신취업지원센터] 커피학교 핸드드립 실기,시니어취업
[서울시어르신취업지원센터] 웨딩쇼퍼 훈련,시니어취업
[서울시어르신취업지원센터] 커피학교 핸드드립 이론,시니어취업
2020 중랑구 전직원 민관협치 이해 교육,사회/교양
핀테크 아카데미 Pre-Course 과정,신기술교육
중랑구 협치 이해 교육(주민대상),사회/교양
아파트관리 주민학교(심화),사회/교양
서울시디지털생명지킴이교육 “S-생명지기(교사편)”,사회/교양
서울시디지털생명지킴이교육 “S-생명지기”,사회/교양
[시립광진청소년센터] 신비한 생활마술 8탄 (DIY마술),취미생활
[시립광진청소년센터] 신비한 생활마술 7탄 (풍선마술),취미생활
[시립광진청소년센터] 신비한 생활마술 6탄 (로프마술),취미생활
[시립광진청소년센터] 일본어 첫걸음 4편,일본어
게임의 피드백 시스템 속에 인간 성장의 비밀이 있다,인문학
[시립광진청소년센터] 신비한 생활마술 5탄 (지폐마술),취미생활
[시립광진청소년센터] 융합과학대장,사회/교양
[시립광진청소년센터] 일본어 첫걸음 3편,일본어
[서울시복지재단] (이룸통장)발달장애인 금융범죄 예방 교육,사회/교양
[시립광진청소년센터] 신비한 생활마술 4탄 (펜마술),취미생활
"[국민권익위원회] 청렴-MOOC, 세계의 청렴국가",사회/교양
"[국민권익위원회] 청렴-MOOC, 인문학 속 청렴 이야기 시즌2",사회/교양
[소방재난본부] 시민안전파수꾼 양성 이론교육,사회/교양
[한국정보통신진흥협회] 통신서비스 활용 및 피해예방 교육,사회/교양
[대중소기업농어업협력재단] 비대면 업무 시 기술보호 가이드라인,사회/교양
[서울시어르신취업지원센터] 재취업6하원칙,시니어취업
[도봉구] 차이나China는 중국어교실,중국어
[시립광진청소년센터] 신비한 생활마술 3탄 (고무줄마술),취미생활
[시립광진청소년센터] 일본어 첫걸음 2편,일본어
[농업기술센터] 미세먼지제거 공기정화식물,사회/교양
[농업기술센터] 도시농부학교,사회/교양
[시립광진청소년센터] 신비한 생활마술 1탄 (동전마술),취미생활
[시립광진청소년센터] 신비한 생활마술 2탄 (휴지마술),취미생활
[서울시어르신취업지원센터] 온라인 취업준비교육,시니어취업
[시립광진청소년센터] 일본어 첫걸음 1편,일본어
나와 같다면(인권교육용),사회/교양
[서울산업진흥원] 슬기로운 유튜버생활_채널성장과 마케팅 편,멀티미디어
[서울산업진흥원] 슬기로운 유튜버생활_SBA스튜디오 소개 편,멀티미디어
[서울산업진흥원] 슬기로운 유튜버생활_촬영장비 편,멀티미디어
[서울산업진흥원] 슬기로운 유튜버생활_프리미어 프로 편,멀티미디어
[한국공인회계사회] FAT(회계실무) 1급,국가공인민간자격
[한국공인회계사회] TAT(세무실무) 2급,국가공인민간자격
[한국공인회계사회] FAT(회계실무) 2급,국가공인민간자격
[한국공인회계사회] TAT(세무실무) 1급,국가공인민간자격
[서울산업진흥원]슬기로운 유튜버생활_모션 그래픽 편,멀티미디어
[서울민주주의위원회] 지역협치의 이해,사회/교양
[서울민주주의위원회] 협치와 시민,사회/교양
[시립목동청소년센터] 청소년 자원봉사,아동/청소년
"[국민권익위원회] 청렴-MOOC, 생활 속 청렴 정보통",사회/교양
"[국민권익위원회] 청렴-MOOC, 인문학 속 청렴 이야기",사회/교양
[에너지정보문화재단] 에너지전환은 미세먼지를 증가시킨다,사회/교양
[에너지정보문화재단] 탈원전으로 우리나라 전력수급 상황은 빨간불,사회/교양
"[에너지정보문화재단] 에너지전환, 급행열차에 탄 것일까",사회/교양
[에너지정보문화재단] 개미의 스승이 된 베짱이,사회/교양
[에너지정보문화재단] 에너지전환 우수사례,사회/교양
"[에너지정보문화재단] 에너지전환, 시대의 흐름인 이유",사회/교양
[에너지정보문화재단] 대한민국 에너지 풍경,사회/교양
[에너지정보문화재단] 에너지 미래를 바꾸다 2부,사회/교양
[에너지정보문화재단] 에너지로바꾸는세상,사회/교양
[에너지정보문화재단] 에너지 미래를 바꾸다 1부,사회/교양
[대중소기업농어업협력재단] 중소기업 기술보호 교육,창업
가족 신화의 극복과 가족 트렌드 이해하기,사회/교양
"재난이 세상을 멈춰세울 때 2부 뉴 노멀의 시대, 한국의 자화상을 비춰본다",문화예술
독립운동가 김마리아와 오광심 영웅에는 성별이 없다,인문학
별의 별 이야기 혜성의 모든 것,사회/교양
패션으로 철학하기,인문학
"초정상자극 자극적인 것을 좇는 우리, 그리고 거를 용기",사회/교양
쇼팽의 선율에서 찾는 내 안의 자유,사회/교양
"근대 팝아트의 거장, 로이 리히텐슈타인 이야기",사회/교양
멀티 페르소나 내 속엔 내가 너무도 많아,사회/교양
재난이 세상을 멈춰세울 때 1부 문명의 균열 속에서 삶의 질서를 되묻는다,문화예술
"플라스틱, 그 탄생과 역습 우리는 왜 플라스틱을 해롭다고만 할까?",사회/교양
생애설계의 철학인생 항해의 나침반을 찾아서,인문학
시민참여가 필요한 이유,사회/교양
호모나랜스 이야기하는 인간,인문학
세계시민나는 시민인가?,인문학
재난이 세상을 멈춰세울 때 3부 시민이 성장하는 배움의 공동체를 상상한다,문화예술
[청년청] 서울청년인재 역량 강화 교육,사회/교양
하루의 재발견(인권교육용),사회/교양
앙상블(인권교육용),사회/교양
수출산업 종사자를 위한 저작권 노하우(일본편),사회/교양
청소년 예비 창업자를 위한 저작권 노하우,사회/교양
표절예방과 저작권 기초 강좌,사회/교양
방송 종사자를 위한 저작권 노하우,사회/교양
콘텐츠 수출산업 종사자를 위한 저작권 노하우(미국편),사회/교양
시니어 창업자를 위한 저작권 노하우,사회/교양
게임 종사자를 위한 저작권 노하우,사회/교양
어린이집 보육교사 과정,사회/교양
콘텐츠 수출산업 종사자를 위한 저작권 노하우(중국편),사회/교양
성공적인 창업을 위한 저작권 노하우,사회/교양
만화(웹툰) 창작자를 위한 저작권 노하우,사회/교양
도서관 업무 종사자를 위한 저작권 노하우,사회/교양
4차산업 종사자를 위한 저작권 노하우,사회/교양
공공기관 근무자를 위한 저작권 기초와 실무,사회/교양
[서울시복지재단] (이룸통장)부모교육_발달장애인을 위한 경제교육,사회/교양
[서울시복지재단] (이룸통장)발달장애인 금융교육,사회/교양
블루투스 모듈을 통한 IOT 이족보행로봇 제작자 과정,프로그래밍
홈팩토리마스터 과정,프로그래밍
블록체인 기술을 활용한 SW개발자 양성과정,프로그래밍
장애 인식 개선 컨텐츠(장애이해),사회/교양
장애 인식개선 컨텐츠(장애유형별),사회/교양
서울시 마을공동체 사업 이해,사회/교양
찾아가는 동주민센터 마을사업에 대한 전반적인 이해,사회/교양
e-재개발재건축 정비사업 아카데미(일반과정),사회/교양
e-SNS로 홍보하기,사회/교양
찾아가는 동주민센터 마을사업,사회/교양
집수리닷컴 실습강좌 - 내 손으로 직접 하는 집수리,취미생활
2018년 자기주도학습 아이를 바꾼다,부모교육
집수리아카데미 이론강좌,취미생활
소방시설 점검 표준 매뉴얼,사회/교양
"세상을 바꾸는 지도, 커뮤니티매핑 이해하기",소셜미디어
개인정보보호편(어린이용),기타
개인정보보호편(청장년층),기타
개인정보보호편(노년층),기타
개인정보보호편(청소년층),기타
공공데이터로 만들어가는 새로운 세상,사회/교양
e-직장인의 건강관리,건강관리
함께하는 부모 학습_드디어 부모!,부모교육
